n_threads,time,n_points,dimensionality
1,0.909676,30000,2048
1,0.791833,30000,2048
1,0.450853,30000,2048
1,0.45086,30000,2048
1,0.451345,30000,2048
1,0.450792,30000,2048
1,0.451505,30000,2048
1,0.450785,30000,2048
1,0.452106,30000,2048
1,0.450956,30000,2048
1,0.451711,30000,2048
1,0.450679,30000,2048
1,0.451833,30000,2048
1,0.450773,30000,2048
1,0.451581,30000,2048
1,0.450729,30000,2048
1,0.451717,30000,2048
1,0.450819,30000,2048
1,0.452043,30000,2048
1,0.451312,30000,2048
1,0.450977,30000,2048
1,0.45296,30000,2048
1,0.451233,30000,2048
1,0.452836,30000,2048
1,0.450694,30000,2048
1,0.452535,30000,2048
1,0.45083,30000,2048
1,0.452528,30000,2048
1,0.450878,30000,2048
1,0.453007,30000,2048
1,0.451175,30000,2048
1,0.452521,30000,2048
1,0.451378,30000,2048
1,0.450911,30000,2048
1,0.462481,30000,2048
1,0.451031,30000,2048
1,0.452306,30000,2048
1,0.451228,30000,2048
1,0.452342,30000,2048
1,0.451362,30000,2048
1,0.452524,30000,2048
1,0.451222,30000,2048
1,0.452996,30000,2048
1,0.451419,30000,2048
1,0.452854,30000,2048
1,0.451277,30000,2048
1,0.450962,30000,2048
1,0.450786,30000,2048
1,0.499863,30000,2048
1,0.452192,30000,2048
2,0.591783,30000,2048
2,0.809782,30000,2048
2,0.810014,30000,2048
2,0.814408,30000,2048
2,0.80984,30000,2048
2,0.80928,30000,2048
2,0.812901,30000,2048
2,0.811358,30000,2048
2,0.809579,30000,2048
2,0.809747,30000,2048
2,0.809676,30000,2048
2,0.859335,30000,2048
2,0.814157,30000,2048
2,0.809502,30000,2048
2,0.812775,30000,2048
2,0.81061,30000,2048
2,0.810392,30000,2048
2,0.810466,30000,2048
2,0.809897,30000,2048
2,0.809829,30000,2048
2,0.809477,30000,2048
2,0.810609,30000,2048
2,0.810688,30000,2048
2,0.809803,30000,2048
2,0.809264,30000,2048
2,0.80951,30000,2048
2,0.809687,30000,2048
2,0.809881,30000,2048
2,0.813676,30000,2048
2,0.820463,30000,2048
2,0.80991,30000,2048
2,0.810388,30000,2048
2,0.809421,30000,2048
2,0.809697,30000,2048
2,0.810302,30000,2048
2,0.858898,30000,2048
2,0.810802,30000,2048
2,0.814517,30000,2048
2,0.809633,30000,2048
2,0.809657,30000,2048
2,0.812743,30000,2048
2,0.809801,30000,2048
2,0.811022,30000,2048
2,0.80978,30000,2048
2,0.809795,30000,2048
2,0.809978,30000,2048
2,0.809968,30000,2048
2,0.810123,30000,2048
2,0.811749,30000,2048
2,0.809556,30000,2048
4,0.812889,30000,2048
4,0.470175,30000,2048
4,0.464767,30000,2048
4,0.465315,30000,2048
4,0.466177,30000,2048
4,0.464839,30000,2048
4,0.464895,30000,2048
4,0.464796,30000,2048
4,0.46583,30000,2048
4,0.465167,30000,2048
4,0.465605,30000,2048
4,0.465113,30000,2048
4,0.466337,30000,2048
4,0.466681,30000,2048
4,0.466205,30000,2048
4,0.465653,30000,2048
4,0.466336,30000,2048
4,0.467366,30000,2048
4,0.465946,30000,2048
4,0.510268,30000,2048
4,0.474392,30000,2048
4,0.465177,30000,2048
4,0.468318,30000,2048
4,0.467279,30000,2048
4,0.46467,30000,2048
4,0.465705,30000,2048
4,0.465692,30000,2048
4,0.466144,30000,2048
4,0.465166,30000,2048
4,0.466533,30000,2048
4,0.465713,30000,2048
4,0.466083,30000,2048
4,0.466036,30000,2048
4,0.466502,30000,2048
4,0.465344,30000,2048
4,0.465624,30000,2048
4,0.467023,30000,2048
4,0.465496,30000,2048
4,0.464744,30000,2048
4,0.514341,30000,2048
4,0.46457,30000,2048
4,0.46494,30000,2048
4,0.464765,30000,2048
4,0.470919,30000,2048
4,0.46469,30000,2048
4,0.465042,30000,2048
4,0.464795,30000,2048
4,0.467515,30000,2048
4,0.467233,30000,2048
4,0.464512,30000,2048
8,0.797074,30000,2048
8,0.468509,30000,2048
8,0.467898,30000,2048
8,0.468388,30000,2048
8,0.469326,30000,2048
8,0.468211,30000,2048
8,0.467752,30000,2048
8,0.467908,30000,2048
8,0.467753,30000,2048
8,0.468208,30000,2048
8,0.467783,30000,2048
8,0.468436,30000,2048
8,0.467763,30000,2048
8,0.470717,30000,2048
8,0.468141,30000,2048
8,0.468002,30000,2048
8,0.467767,30000,2048
8,0.468084,30000,2048
8,0.469447,30000,2048
8,0.469989,30000,2048
8,0.468436,30000,2048
8,0.468508,30000,2048
8,0.469377,30000,2048
