n_threads,time,n_points,dimensionality
1,0.170984,5000,4096
1,0.169098,5000,4096
1,0.150421,5000,4096
1,0.146014,5000,4096
1,0.140416,5000,4096
1,0.148226,5000,4096
1,0.146161,5000,4096
1,0.1441,5000,4096
1,0.150344,5000,4096
1,0.156647,5000,4096
2,0.197938,7200,4096
2,0.206702,7200,4096
2,0.223098,7200,4096
2,0.188517,7200,4096
2,0.21077,7200,4096
2,0.216503,7200,4096
2,0.219327,7200,4096
2,0.223069,7200,4096
2,0.222753,7200,4096
2,0.218092,7200,4096
4,0.349685,14929,4096
4,0.339966,14929,4096
4,0.379408,14929,4096
