n_threads,time,n_points,dimensionality
1,0.878572,30000,2048
1,0.589068,30000,2048
1,0.493866,30000,2048
1,0.495593,30000,2048
1,0.494064,30000,2048
1,0.499502,30000,2048
1,0.542979,30000,2048
1,0.502616,30000,2048
1,0.4982,30000,2048
1,0.492865,30000,2048
1,0.49787,30000,2048
1,0.498052,30000,2048
1,0.543811,30000,2048
1,0.495921,30000,2048
1,0.492521,30000,2048
1,0.496555,30000,2048
1,0.494796,30000,2048
1,0.493798,30000,2048
1,0.491917,30000,2048
1,0.493747,30000,2048
1,0.520377,30000,2048
1,0.493945,30000,2048
1,0.490844,30000,2048
1,0.547435,30000,2048
1,0.495096,30000,2048
1,0.498225,30000,2048
1,0.494253,30000,2048
1,0.494977,30000,2048
1,0.493296,30000,2048
1,0.495395,30000,2048
1,0.49547,30000,2048
1,0.493081,30000,2048
1,0.490935,30000,2048
1,0.492154,30000,2048
1,0.490886,30000,2048
1,0.491773,30000,2048
1,0.492546,30000,2048
1,0.49165,30000,2048
1,0.494068,30000,2048
1,0.493555,30000,2048
1,0.491458,30000,2048
1,0.533757,30000,2048
1,0.497292,30000,2048
1,0.491941,30000,2048
1,0.490815,30000,2048
1,0.497669,30000,2048
1,0.492664,30000,2048
1,0.490765,30000,2048
1,0.490653,30000,2048
1,0.491128,30000,2048
2,0.510987,30000,2048
2,0.317245,30000,2048
2,0.314143,30000,2048
2,0.315463,30000,2048
2,0.330768,30000,2048
2,0.358101,30000,2048
2,0.315634,30000,2048
2,0.314353,30000,2048
2,0.32926,30000,2048
2,0.33911,30000,2048
2,0.333987,30000,2048
2,0.524981,30000,2048
2,0.336533,30000,2048
2,0.344291,30000,2048
2,0.336751,30000,2048
2,0.408378,30000,2048
2,0.342791,30000,2048
2,0.343362,30000,2048
2,0.510463,30000,2048
2,0.325145,30000,2048
2,0.338762,30000,2048
2,0.339257,30000,2048
2,0.33553,30000,2048
2,0.340598,30000,2048
2,0.382931,30000,2048
2,0.323208,30000,2048
2,0.333471,30000,2048
2,0.332219,30000,2048
2,0.333554,30000,2048
2,0.355578,30000,2048
2,0.323037,30000,2048
2,0.323104,30000,2048
2,0.315926,30000,2048
2,0.310324,30000,2048
2,0.321332,30000,2048
2,0.308134,30000,2048
2,0.303012,30000,2048
2,0.335587,30000,2048
2,0.298379,30000,2048
2,0.296651,30000,2048
2,0.274792,30000,2048
2,0.301266,30000,2048
2,0.295599,30000,2048
2,0.301219,30000,2048
2,0.296367,30000,2048
2,0.300539,30000,2048
2,0.300769,30000,2048
2,0.301332,30000,2048
2,0.296545,30000,2048
2,0.300596,30000,2048
3,0.373997,30000,2048
3,0.23345,30000,2048
