n_threads,time,n_points,dimensionality
1,0.380617,10000,4096
1,0.372948,10000,4096
1,0.394068,10000,4096
1,0.238267,10000,4096
1,0.237921,10000,4096
1,0.236944,10000,4096
1,0.238729,10000,4096
1,0.239755,10000,4096
1,0.238764,10000,4096
1,0.236689,10000,4096
1,0.239061,10000,4096
1,0.238639,10000,4096
1,0.236762,10000,4096
1,0.237668,10000,4096
1,0.237,10000,4096
1,0.268918,10000,4096
1,0.241828,10000,4096
1,0.237062,10000,4096
1,0.237014,10000,4096
1,0.238376,10000,4096
1,0.237037,10000,4096
1,0.238325,10000,4096
1,0.23873,10000,4096
1,0.23721,10000,4096
1,0.236732,10000,4096
1,0.260128,10000,4096
1,0.246226,10000,4096
1,0.237507,10000,4096
1,0.24192,10000,4096
1,0.236775,10000,4096
1,0.236841,10000,4096
1,0.236923,10000,4096
1,0.238151,10000,4096
1,0.236674,10000,4096
1,0.236893,10000,4096
1,0.239097,10000,4096
1,0.236699,10000,4096
1,0.238487,10000,4096
1,0.237106,10000,4096
1,0.237026,10000,4096
1,0.236657,10000,4096
1,0.236598,10000,4096
1,0.26822,10000,4096
1,0.238795,10000,4096
1,0.236557,10000,4096
1,0.236636,10000,4096
1,0.236813,10000,4096
1,0.242624,10000,4096
1,0.236642,10000,4096
1,0.236765,10000,4096
2,0.259343,10000,4096
2,0.128522,10000,4096
2,0.175047,10000,4096
2,0.13398,10000,4096
2,0.134126,10000,4096
2,0.133916,10000,4096
2,0.133947,10000,4096
2,0.133907,10000,4096
2,0.133917,10000,4096
2,0.133902,10000,4096
2,0.133859,10000,4096
2,0.133865,10000,4096
2,0.133901,10000,4096
2,0.133922,10000,4096
2,0.134395,10000,4096
2,0.171699,10000,4096
2,0.134819,10000,4096
2,0.177993,10000,4096
2,0.177402,10000,4096
2,0.133977,10000,4096
2,0.133935,10000,4096
2,0.133887,10000,4096
2,0.133866,10000,4096
2,0.133799,10000,4096
2,0.140194,10000,4096
2,0.134036,10000,4096
2,0.133843,10000,4096
2,0.133796,10000,4096
2,0.133772,10000,4096
2,0.133849,10000,4096
2,0.133894,10000,4096
2,0.134221,10000,4096
2,0.133921,10000,4096
2,0.151965,10000,4096
2,0.137703,10000,4096
2,0.13949,10000,4096
2,0.16264,10000,4096
2,0.134933,10000,4096
2,0.161286,10000,4096
2,0.161259,10000,4096
2,0.137054,10000,4096
2,0.28453,10000,4096
2,0.124438,10000,4096
2,0.124371,10000,4096
2,0.132347,10000,4096
2,0.152982,10000,4096
2,0.124387,10000,4096
2,0.126767,10000,4096
2,0.124301,10000,4096
2,0.126998,10000,4096
4,0.192027,10000,4096
4,0.229695,10000,4096
4,0.241814,10000,4096
4,0.240408,10000,4096
4,0.228133,10000,4096
4,0.248331,10000,4096
4,0.229256,10000,4096
4,0.224665,10000,4096
4,0.224051,10000,4096
4,0.229604,10000,4096
4,0.227697,10000,4096
4,0.226894,10000,4096
4,0.23947,10000,4096
4,0.226913,10000,4096
4,0.230585,10000,4096
4,0.227229,10000,4096
4,0.22731,10000,4096
4,0.228179,10000,4096
4,0.227634,10000,4096
4,0.228276,10000,4096
4,0.228241,10000,4096
4,0.227265,10000,4096
4,0.226905,10000,4096
4,0.227103,10000,4096
4,0.227869,10000,4096
4,0.225848,10000,4096
4,0.225759,10000,4096
4,0.23942,10000,4096
4,0.226989,10000,4096
4,0.230285,10000,4096
4,0.230607,10000,4096
4,0.229824,10000,4096
4,0.227119,10000,4096
4,0.226229,10000,4096
4,0.22675,10000,4096
4,0.238523,10000,4096
4,0.227622,10000,4096
4,0.221878,10000,4096
4,0.227159,10000,4096
4,0.230641,10000,4096
4,0.22536,10000,4096
4,0.227001,10000,4096
4,0.22636,10000,4096
4,0.227475,10000,4096
4,0.227479,10000,4096
4,0.227243,10000,4096
4,0.222252,10000,4096
4,0.227722,10000,4096
4,0.227592,10000,4096
4,0.22722,10000,4096
8,0.185751,10000,4096
8,0.185391,10000,4096
8,0.185206,10000,4096
8,0.185399,10000,4096
8,0.18545,10000,4096
8,0.185182,10000,4096
8,0.185665,10000,4096
8,0.185151,10000,4096
8,0.185463,10000,4096
8,0.187456,10000,4096
8,0.18562,10000,4096
8,0.192329,10000,4096
8,0.190234,10000,4096
8,0.185449,10000,4096
8,0.185498,10000,4096
8,0.185512,10000,4096
8,0.185665,10000,4096
8,0.185357,10000,4096
8,0.189558,10000,4096
8,0.185125,10000,4096
8,0.185868,10000,4096
8,0.185387,10000,4096
8,0.18576,10000,4096
8,0.18509,10000,4096
8,0.185579,10000,4096
8,0.185496,10000,4096
8,0.18615,10000,4096
8,0.185348,10000,4096
8,0.185383,10000,4096
8,0.185017,10000,4096
8,0.189049,10000,4096
8,0.185428,10000,4096
8,0.186637,10000,4096
8,0.185376,10000,4096
8,0.185482,10000,4096
8,0.185372,10000,4096
8,0.185859,10000,4096
8,0.185165,10000,4096
8,0.185551,10000,4096
8,0.185702,10000,4096
8,0.185868,10000,4096
8,0.185092,10000,4096
8,0.18544,10000,4096
8,0.185971,10000,4096
8,0.185544,10000,4096
8,0.188887,10000,4096
8,0.185541,10000,4096
8,0.185941,10000,4096
8,0.185733,10000,4096
8,0.186175,10000,4096
16,0.161815,10000,4096
16,0.161275,10000,4096
16,0.16128,10000,4096
16,0.161345,10000,4096
16,0.161158,10000,4096
16,0.161165,10000,4096
16,0.160977,10000,4096
16,0.161264,10000,4096
16,0.161161,10000,4096
16,0.16121,10000,4096
16,0.160708,10000,4096
16,0.161222,10000,4096
16,0.161166,10000,4096
16,0.160998,10000,4096
16,0.1612,10000,4096
16,0.161332,10000,4096
16,0.161233,10000,4096
16,0.161146,10000,4096
16,0.161103,10000,4096
16,0.207684,10000,4096
16,0.162152,10000,4096
16,0.161414,10000,4096
16,0.166447,10000,4096
16,0.16084,10000,4096
16,0.162061,10000,4096
16,0.161034,10000,4096
16,0.16097,10000,4096
16,0.161826,10000,4096
16,0.161199,10000,4096
16,0.161049,10000,4096
16,0.160858,10000,4096
16,0.160903,10000,4096
16,0.160999,10000,4096
16,0.160975,10000,4096
16,0.161098,10000,4096
16,0.160966,10000,4096
16,0.161135,10000,4096
16,0.161403,10000,4096
16,0.160962,10000,4096
