n_threads,time,n_points,dimensionality
1,0.0145432,500,4096
1,0.0101568,500,4096
1,0.0114021,500,4096
1,0.0101179,500,4096
1,0.00926851,500,4096
1,0.00909027,500,4096
1,0.00809713,500,4096
1,0.00996063,500,4096
1,0.00859503,500,4096
1,0.00816558,500,4096
2,0.0158204,720,4096
2,0.0181466,720,4096
2,0.0156108,720,4096
2,0.0160564,720,4096
2,0.0142517,720,4096
2,0.0158522,720,4096
2,0.0178994,720,4096
2,0.0184919,720,4096
2,0.0192436,720,4096
2,0.0197909,720,4096
4,0.0272275,1243,4096
4,0.0264441,1243,4096
4,0.0252666,1243,4096
4,0.0252768,1243,4096
4,0.0251733,1243,4096
4,0.0260314,1243,4096
4,0.0258101,1243,4096
4,0.0255494,1243,4096
4,0.0273986,1243,4096
4,0.0269549,1243,4096
8,0.047362,2575,4096
8,0.045804,2575,4096
8,0.0478308,2575,4096
8,0.0491951,2575,4096
8,0.0471922,2575,4096
8,0.0467389,2575,4096
8,0.0463324,2575,4096
8,0.06996,2575,4096
8,0.0464076,2575,4096
8,0.045836,2575,4096
16,0.0719338,4449,4096
16,0.0640602,4449,4096
16,0.0600578,4449,4096
16,0.0631247,4449,4096
16,0.0676734,4449,4096
16,0.0638049,4449,4096
16,0.0707862,4449,4096
16,0.0713561,4449,4096
16,0.0711832,4449,4096
16,0.0712406,4449,4096
32,0.175183,9223,4096
32,0.139391,9223,4096
32,0.0775357,9223,4096
32,0.0914453,9223,4096
32,0.107861,9223,4096
32,0.1222,9223,4096
32,0.13887,9223,4096
32,0.144253,9223,4096
32,0.141414,9223,4096
32,0.147233,9223,4096
